,,Mês,Ano,Tmáx,Tmin,ETP
,,3,2014,29.4706451612903,19.66,3.45029794226282
,,4,2014,29.07,18.5806666666667,3.68288196946342
,,5,2014,25.3751612903226,14.7503225806452,3.26497469537646
,,6,2014,24.9933333333333,14113,3.07740046592322
,,7,2014,24.4487096774194,11.9190322580645,2.88263706563791
,,8,2014,29.4674193548387,14.2116129032258,2.82150260360254
,,9,2014,33.28,18462,2.27936563776433
,,10,2014,35.2687096774194,20.4222580645161,2.08098075979379
,,11,2014,32.6126666666667,20.7396666666667,1.84723010764209
,,12,2014,32.6596774193548,21.88,2.16615179240886
,,1,2015,33.3174193548387,22.9893548387097,2.77102524081508
,,2,2015,32.5457142857143,22.3685714285714,3.29100241878132
,,3,2015,32.9090322580645,20.6638709677419,3.93625377817185
,,4,2015,30.5246666666667,19.1283333333333,3.87309859622298
,,5,2015,26.7409677419355,15.711935483871,3.35743914924953
,,6,2015,27.2196666666667,13.9196666666667,3.4462639957568
,,7,2015,25.0677419354839,13.4622580645161,2.94364205577321
,,8,2015,32.3077419354839,15.2193548387097,3.0122283916925
,,9,2015,31.9766666666667,17209,2.36088014886869
,,10,2015,31.6574193548387,20.0796774193548,1.95586085598117
,,11,2015,30984,21329,1.79306525371959
,,12,2015,29.6861290322581,22.2503225806452,1.84326969342354
,,1,2016,29.9190322580645,21.908064516129,2.38097402824095
,,2,2016,31.0351724137931,22.6589655172414,2.9637619861076
,,3,2016,30.6896774193548,19.3461290322581,3.60779573981614
,,4,2016,32.4296666666667,19.5693333333333,3.92465308581186
,,5,2016,24.4022580645161,13.7703225806452,3.25184683787062
,,6,2016,21664,10.3673333333333,3.01889262196325
,,7,2016,25.1864516129032,11.54,3.19175423150421
,,8,2016,27.761935483871,13.3112903225806,2.83927243220666
,,9,2016,27995,12593,2.31591929914074
,,10,2016,30.5809677419355,17.7545161290323,1.91256992894523
,,11,2016,32685,18.7626666666667,1.81687065841477
,,12,2016,30.6516129032258,20.7835483870968,1.91781858512327
,,1,2017,30.8603225806452,21.3241935483871,3.80480791374315
,,2,2017,30.9378571428571,21.7157142857143,3.71841062110998
,,3,2017,30.7945161290323,20.6748387096774,3.74480513539038
,,4,2017,27.4196666666667,16.9113333333333,3.5003041496732
,,5,2017,25.8967741935484,17.5070967741936,3.2028948735607
,,6,2017,23.7113333333333,12.7813333333333,3.20117175137365
,,7,2017,24.8970967741935,10.3870967741935,3.40324166068521
,,8,2017,28.0622580645161,14.341935483871,3.54817949584564
,,9,2017,34.6126666666667,17.4533333333333,4.29813178000704
,,10,2017,32.6341935483871,19.0841935483871,3.88418786559848
,,11,2017,30.8096666666667,18.2356666666667,3.88463397902454
,,12,2017,31.1561290322581,21.5435483870968,3.74211397228988
