@relation dados-climaticos-verao

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
29.9,16.1,3.810731
30.2,17.4,3.940541
30.4,16.4,3.871484
31.1,16.9,3.967705
29.7,15.3,3.716727
30,17,3.300967
24.9,15.4,3.322783
26.9,14.5,3.410319
26.6,14.4,3.374101
28.1,15.4,3.576221
28.2,16.6,3.679213
28,17.6,3.740797
29,19.1,3.941366
29.7,16.8,3.805719
29.8,16.4,3.77648
31,15.3,3.77978
29.5,18.1,3.880711
30.3,17.1,3.859044
28.4,16.9,3.682769
29.4,18.9,3.920809
30,16,3.728342
29.7,14.9,3.6091
29.8,15.3,3.643538
30.5,16.4,3.782495
30.2,16.7,3.775835
28.2,18.5,3.752902
27.3,18.6,3.681701
27.7,17.5,3.618552
28.5,18.9,3.787128
27.5,19.8,3.771401
27.7,18.9,3.707762
27.4,18.8,3.667975
29.3,18.7,3.802402
29.7,17.8,3.754194
28.3,18.1,3.658651
29.2,15,3.476793
28.8,18.8,3.735
30.6,15.8,3.631634
31.2,14.3,3.551969
30.3,17.5,3.721626
30.6,16,3.618353
28.5,18.5,3.639288
30.3,16.4,3.605804
30,17.1,3.626154
28.4,17.1,3.492611
27.7,17.4,3.451455
28.8,15.9,3.410308
27.7,16.1,3.331151
30.1,15.6,3.815557
29.9,15.4,3.782625
27.4,16,3.624374
28.7,17,3.816829
27.5,18.2,3.817164
27.8,18.3,3.850868
28.3,17.6,3.834409
26.8,18.2,3.759422
23.8,18.5,3.533999
24,18.4,3.542454
25.8,17.8,3.642769
20.2,18.1,3.199965
21.7,18,3.316902
24.7,18,3.567465
27.1,17.4,3.717711
25.6,18.2,3.659042
27.1,17,3.68386
28.4,14.9,3.616738
27.3,17.2,3.716611
26.5,16.7,3.607627
28.5,15.3,3.657258
25.5,18.2,3.64837
24.1,17.7,3.489168
28.1,17.6,3.814011
27.1,19,3.846611
29.3,18.3,3.970884
29.7,15.9,3.803111
29.8,16.3,3.84379
27.5,16.8,3.692642
28.1,15.8,3.65816
29.5,14.2,3.640273
28.6,18.2,3.897103
28.5,15.6,3.670852
28.5,14.1,3.54453
28.5,13.8,3.518019
29.1,14.2,3.5995
28,15.2,3.589399
29.8,14.4,3.670547
27.3,15.2,3.527397
29.7,15.5,3.74927
31.1,14,3.738638
30.4,14.1,3.686468
29.8,15.7,3.766694
29.3,16.1,3.75567
29.8,14.5,3.661861
29.2,14.3,3.592836
27.3,15.2,3.507278
30.5,14.4,3.702058
28.8,15,3.608019
30.3,13.9,3.637446
30.3,13.9,3.63377
29.7,14,3.588875
27.3,16.2,3.568523
28.1,15.1,3.539854
28.3,17.1,3.715691
25.7,18.4,3.604821
26.2,16.7,3.502215
26.2,16.7,3.497532
28.3,14.5,3.484538
28.7,14.5,3.512044
28.6,16.4,3.652927
28.6,16.4,3.647291
29.2,15,3.576732
27.5,18.2,3.69201
25.3,17.5,3.451829
29,17.2,3.719479
27.7,15.8,3.495744
28.6,15,3.497215
30,17,3.202258
28.2,16.6,3.579396
24.7,17.8,3.38868
26.3,17.3,3.469064
30,17,3.175736
27.3,17.5,3.548909
27.8,17.2,3.556605
28.5,16.8,3.571916
27.9,18.4,3.64198
28.1,17.8,3.601607
28.3,18.7,3.678594
26.3,18,3.458291
25.5,17.6,3.355692
27.6,18.2,3.556235
28.3,18.9,3.654774
29,16.8,3.536314
27.7,17.1,3.449081
26.8,17.3,3.385146
25.7,18.4,3.374926
20.9,16.3,3.10149
27.3,17.6,3.744292
28.5,18.1,3.886865
30,17,3.337015
27.8,16.2,3.671386
27,16.6,3.638629
26.2,17.5,3.647551
30,17,3.339207
26.6,18.4,3.757113
27.5,18.5,3.841076
25.2,18.4,3.641076
30,17,3.340769
23.8,16.7,3.382826
